epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.831,2.51313,4.07669,3.68606,0.00529,0.70945,0.03162,0.00932,2.41536,4.88087,3.17953,0.000554694,0.000554694,0.000554694
2,233.667,2.25861,3.30324,3.07906,0.02381,0.62406,0.05979,0.01637,2.2189,4.50625,2.93666,0.00111009,0.00111009,0.00111009
3,352.063,2.12112,3.11366,2.90996,0.09143,0.25776,0.07253,0.02453,2.1221,3.86901,2.81423,0.0016644,0.0016644,0.0016644
4,474.988,2.07403,2.98963,2.82606,0.14275,0.14564,0.07884,0.02322,2.156,6.78026,2.90144,0.00166334,0.00166334,0.00166334
5,600.886,2.04468,2.87743,2.75827,0.10252,0.30113,0.07811,0.02599,2.09963,4.42399,2.81827,0.00166049,0.00166049,0.00166049
6,725.391,1.98467,2.77729,2.70688,0.19881,0.31636,0.13498,0.0454,2.02806,3.44501,2.66141,0.00165684,0.00165684,0.00165684
7,838.138,1.9618,2.6891,2.63817,0.18001,0.29458,0.12503,0.04416,2.04642,2.86686,2.65317,0.00165238,0.00165238,0.00165238
8,946.714,1.90513,2.6012,2.58698,0.21474,0.29893,0.16477,0.05812,1.97826,3.04068,2.62518,0.00164713,0.00164713,0.00164713
9,1054.63,1.85931,2.52454,2.53936,0.25068,0.304,0.1835,0.06875,1.97603,2.87165,2.57219,0.00164108,0.00164108,0.00164108
10,1162.79,1.84048,2.47516,2.51969,0.29337,0.30482,0.20349,0.07773,1.90476,2.72576,2.4688,0.00163424,0.00163424,0.00163424
11,1271.53,1.83259,2.45467,2.49296,0.29754,0.30531,0.23957,0.09455,1.86896,2.77235,2.4592,0.00162661,0.00162661,0.00162661
12,1380.1,1.80269,2.38233,2.44459,0.26494,0.32856,0.2356,0.09712,1.85105,2.79852,2.42155,0.00161822,0.00161822,0.00161822
13,1488.27,1.77798,2.37312,2.4343,0.29861,0.33983,0.25603,0.1064,1.87383,2.70695,2.45523,0.00160905,0.00160905,0.00160905
14,1596.19,1.75967,2.3064,2.38523,0.29485,0.37455,0.26333,0.10242,1.91975,2.72912,2.45021,0.00159913,0.00159913,0.00159913
15,1704.07,1.74399,2.28243,2.36758,0.29333,0.42647,0.28486,0.11425,1.92638,3.53664,2.48612,0.00158847,0.00158847,0.00158847
16,1811.59,1.73639,2.20258,2.35044,0.33685,0.44282,0.31828,0.13712,1.85013,2.65293,2.35311,0.00157706,0.00157706,0.00157706
17,1916.79,1.70104,2.22721,2.31216,0.34067,0.42273,0.31359,0.13245,1.80035,2.61127,2.31849,0.00156493,0.00156493,0.00156493
18,2023.21,1.69704,2.17376,2.31874,0.33831,0.45239,0.33826,0.14403,1.8866,2.67928,2.43444,0.00155209,0.00155209,0.00155209
19,2128.18,1.67424,2.13633,2.29116,0.33367,0.46971,0.3652,0.16281,1.74066,3.30088,2.26781,0.00153854,0.00153854,0.00153854
20,2233.24,1.6704,2.11372,2.28948,0.39908,0.44529,0.37148,0.16618,1.75765,2.63021,2.33064,0.00152431,0.00152431,0.00152431
21,2338.39,1.65542,2.05386,2.26485,0.40317,0.43465,0.38475,0.17716,1.73436,2.35106,2.26706,0.00150941,0.00150941,0.00150941
22,2443.62,1.6408,2.06536,2.25683,0.38597,0.47151,0.38052,0.1642,1.77573,2.42069,2.29524,0.00149384,0.00149384,0.00149384
23,2549.15,1.62806,2.00661,2.22742,0.37332,0.46921,0.37076,0.16023,1.80291,2.18685,2.3553,0.00147764,0.00147764,0.00147764
24,2653.7,1.61339,2.01256,2.20736,0.40908,0.495,0.4149,0.18939,1.6889,2.15101,2.21808,0.0014608,0.0014608,0.0014608
25,2758.36,1.62393,2.01124,2.21645,0.44532,0.45392,0.41351,0.19221,1.7163,2.27118,2.23952,0.00144335,0.00144335,0.00144335
26,2863.39,1.5949,1.96622,2.1751,0.41869,0.50021,0.41888,0.1828,1.72999,2.5392,2.23982,0.00142531,0.00142531,0.00142531
27,2968.07,1.60272,1.95152,2.18145,0.45247,0.51445,0.45188,0.21604,1.65013,2.20798,2.14533,0.0014067,0.0014067,0.0014067
28,3072.99,1.60683,1.92389,2.18389,0.45306,0.48924,0.44748,0.20957,1.71384,2.13346,2.24041,0.00138753,0.00138753,0.00138753
29,3177.79,1.5742,1.89618,2.1607,0.44631,0.4876,0.44341,0.21446,1.65542,2.10579,2.16967,0.00136781,0.00136781,0.00136781
30,3282.71,1.57846,1.90245,2.17685,0.4265,0.54416,0.47483,0.21846,1.6932,2.32738,2.20123,0.00134758,0.00134758,0.00134758
31,3387.63,1.54611,1.87394,2.14796,0.48781,0.51219,0.49214,0.23743,1.64215,2.13399,2.16463,0.00132685,0.00132685,0.00132685
32,3492.01,1.52758,1.83403,2.11134,0.447,0.55707,0.48689,0.23097,1.66974,2.07042,2.15867,0.00130565,0.00130565,0.00130565
